HJD	MAG	MER_4	GRADE
4632.78348	8.754	0.036	A
4640.83917	8.748	0.039	A
4642.84116	8.755	0.036	A
4645.75643	8.922	0.039	B
4647.81073	8.727	0.039	A
4649.87462	8.727	0.046	A
4652.73712	8.751	0.035	A
4654.77062	8.735	0.037	A
4656.75863	8.775	0.041	A
4660.72293	8.723	0.033	A
4662.82594	8.739	0.043	A
4664.7217	8.739	0.041	A
4671.72031	8.733	0.034	A
4674.69125	8.839	0.035	A
4677.75169	8.716	0.039	B
4679.76182	8.748	0.038	A
4682.73412	8.737	0.043	A
4684.74191	8.722	0.043	A
4686.70431	8.99	0.038	A
4690.69243	8.756	0.035	A
4696.7917	8.72	0.043	A
4698.69307	8.893	0.039	A
4700.69057	8.748	0.038	B
4702.70365	8.758	0.039	A
4705.59693	8.727	0.04	A
4707.68359	8.712	0.045	A
4716.60697	8.728	0.041	A
4724.56039	8.799	0.043	A
4726.61565	8.887	0.043	A
4729.60544	8.704	0.041	A
4731.62938	8.731	0.048	B
4734.65916	8.761	0.042	A
4739.54335	8.707	0.038	A
4742.53646	9.037	0.044	A
4744.54925	8.744	0.046	A
4746.55855	8.75	0.046	A
4750.54966	8.753	0.052	B
4753.54656	8.741	0.042	A
4755.59063	8.913	0.04	A
4758.55212	8.749	0.043	A
4761.54217	8.778	0.043	A
4764.53905	8.74	0.039	A
4766.53494	9.022	0.045	A
4767.53448	8.76	0.042	A
4770.51978	8.781	0.05	B
4772.55935	8.753	0.042	A
4774.5723	8.768	0.041	A
4778.5363	9.033	0.041	A
4782.54029	8.764	0.05	B
4785.53211	8.722	0.042	A
4948.91538	8.782	0.054	B
4952.89413	8.743	0.056	B
4961.90394	8.915	0.059	B
4968.91845	8.81	0.056	B
4972.88743	8.815	0.057	B
4975.86158	8.767	0.055	B
4984.89032	9.194	0.059	B
4991.84788	8.757	0.057	B
5023.77815	8.773	0.054	B
5041.68042	8.761	0.051	B
5063.65657	8.822	0.051	B
5070.75295	8.755	0.059	B
5082.70742	8.786	0.057	B
5089.68495	8.756	0.055	B
5092.5779	8.972	0.049	A
